category,name,ecoScore,price,description,imageUrl
Bar Soap,Mysore Sandal Soap (HUL),45.13,42,"Made with pure sandalwood oil, Mysore Sandal Soap offers a luxurious bathing experience with a rich, natural fragrance. It nourishes the skin, leaving it soft and refreshed. Known for its heritage and Ayurvedic formulation, it’s a trusted choice for gentle, everyday cleansing.",https://drive.google.com/file/d/1II6jh1kpZagYJdc0ef8F9osxayMvYRKC/view?usp=drive_link
Bar Soap,Medimix 18 Herbs Soap,67.01,52,"Infused with 18 Ayurvedic herbs, Medimix is designed to prevent skin issues like acne, body odor, and infections. It provides a natural, herbal cleanse while keeping the skin healthy and supple. Suitable for all skin types, it's especially popular for its medicinal benefits.",https://drive.google.com/file/d/1dsLVhRo0gf3XbtQhshvz1GQtK7bXX1W8/view?usp=drive_link
Bar Soap,Cinthol Original Soap,62.86,50,"Cinthol Original Soap, enriched with germ protection, offers a strong, refreshing aroma and deep cleansing. It helps protect against dust, pollution, and skin problems, making it ideal for active lifestyles. Its iconic legacy and freshness make it a go-to bath bar for many.",https://drive.google.com/file/d/1uFFP6WrA9Bnrd4nbWkX7gubAtGLKtF1B/view?usp=drive_link
Bar Soap,Patanjali Neem Kanti Soap,70.16,42,"Made with neem, haldi, and other Ayurvedic ingredients, Patanjali Neem Kanti is an antibacterial soap aimed at treating pimples and skin irritation. It cleanses thoroughly while maintaining skin health, especially for oily or acne-prone skin. It’s a budget-friendly, herbal alternative.",https://drive.google.com/file/d/1ZmJHe0zT8Ko8vyK4K-pkMMl-VIcde9HC/view?usp=drive_link
Bar Soap,Dove Beauty Bar,72.67,85,"Dove Beauty Bar is more than just a soap—it’s a moisturizing cleanser with ¼ moisturizing cream. It gently nourishes dry skin without stripping natural oils. Known for its soft, creamy lather, Dove leaves skin smooth, soft, and radiant after every wash.",https://drive.google.com/file/d/1HIS3e_DdPwcRpPE-s2cqt9OYU6rC4h4_/view?usp=drive_link
Bar Soap,Lux Soft Touch Soap,53.03,80,"Lux Soft Touch is infused with floral extracts and silk protein, offering a fragrant, creamy lather that leaves skin feeling soft and pampered. Designed for daily use, it enhances the bathing experience with its long-lasting fragrance and gentle moisturizing properties.",https://drive.google.com/file/d/1chnrxlD0tVSQAiKBJgi-BDmPiwzXFGxe/view?usp=drive_link
Bar Soap,Dettol Original Soap,63.83,100,"Dettol Original Soap provides trusted germ protection with every wash. Formulated with antibacterial agents, it helps prevent infection, body odor, and skin issues. Ideal for hygiene-conscious users, it’s a reliable choice for keeping skin clean and protected throughout the day.",https://drive.google.com/file/d/1qfjruqQyFDY_qmgdqfmn_Q--uPZCSvkk/view?usp=drive_link
Bar Soap,Biotique Bio Almond Oil Soap,100,120,"Biotique’s Bio Almond Oil Soap is an Ayurvedic, 100% natural bar enriched with almond oil, coconut oil, and wild turmeric. It deeply nourishes and softens skin, making it suitable for dry and sensitive skin types. It’s chemical-free and eco-friendly.",https://drive.google.com/file/d/1PIEv0xMHtHbzBFHZPLswgHGnTRDOqAXU/view?usp=drive_link
Bar Soap,Pears Transparent Soap,85.51,120,"Pears Soap is a gentle, glycerin-based cleanser known for its transparency and purity. It hydrates and refreshes skin while being dermatologically tested for sensitive skin. Its mild formula and light fragrance make it a popular choice for daily, gentle cleansing.",https://drive.google.com/file/d/1lUKuKPZgyugHKGm14d8eaS4zLZXmiU8a/view?usp=drive_link
Bar Soap,Himalaya Neem & Turmeric Soap,56.5,80,"Himalaya Neem & Turmeric Soap combines neem’s antibacterial properties with turmeric’s healing benefits. It effectively combats acne and skin impurities while soothing and refreshing the skin. Ideal for oily or acne-prone skin, it offers a clean, herbal bath experience.",https://drive.google.com/file/d/1Nr7pO2wnGRXOEUuxFxRczcUXnIBnSsv7/view?usp=drive_link
Biscuits,Parle-G,96.4,160,"India’s favorite glucose biscuit, Parle-G is packed with energy and nostalgia. Ideal for tea-time or on-the-go snacking, it’s made with wheat flour and enriched with vitamins and iron. Loved by all age groups for its simple, sweet flavor and crunchy texture.",https://drive.google.com/file/d/1qVl7t4VSdkX85p8rml4mbm0pf2o_Ut-H/view?usp=sharing
Biscuits,Britannia Good Day,81.15,170,"Loaded with the richness of cashews and a buttery base, Good Day biscuits deliver a joyful crunch in every bite. With a melt-in-mouth texture and delicious aroma, these are perfect for elevating your tea-time or just a quick treat anytime.",https://drive.google.com/file/d/1OxV2eH4sWgBOxlalG7T2huK0h_g9XRFl/view?usp=drive_link
Biscuits,Hide & Seek Fab,66.66,150,"A delightful combination of crispy chocolate cookies and smooth chocolate cream, Hide & Seek Fab offers a fun and indulgent treat. Great for kids and chocolate lovers alike, it’s a perfect snack for school tiffins or evening cravings.",https://drive.google.com/file/d/1ZkFzqE7F1o67vMHkwCPkrIaGIDXv0Lq-/view?usp=drive_link
Biscuits,Marie Gold,99.79,170,"Light, crisp, and low on sugar, Britannia Marie Gold is made from wheat and designed for the health-conscious. It pairs perfectly with tea and provides energy without being heavy. A wholesome and classic biscuit choice for daily snacking.",https://drive.google.com/file/d/1S7iQk8Xjao4jVoG0YrLUWH3faZltVfvo/view?usp=drive_link
Biscuits,Treat Orange,78.08,250,"Britannia Treat Orange sandwiches tangy orange-flavored cream between crispy biscuits. A hit among kids, it's playful, colorful, and full of fruity flavor. Great as a snack in lunchboxes or after-school munching.",https://drive.google.com/file/d/1Cu6HZ4x-fz0v-a9Gtdv_8bFKIuAbRst6/view?usp=drive_link
Biscuits,Oreo,63.99,250,"The world’s favorite cookie, Oreo features two rich cocoa biscuits with a delicious vanilla crème filling. Dunk it in milk, twist it apart, or eat it whole—Oreo is versatile and fun for all ages. Imported flavor in an Indian-friendly pack size.",https://drive.google.com/file/d/17pxaGvHO4e461d4WA3ENyoT2ubdvLmGd/view?usp=drive_link
Biscuits,Bourbon,75.65,250,"Britannia Bourbon offers a timeless combination of crunchy chocolate biscuits filled with smooth chocolate cream, topped with sugar crystals. A chocolaty indulgence ideal for dessert moments, tea-time, or as a sweet treat on-the-go.",https://drive.google.com/file/d/1GAvlQ_7EddkarepqXSwSa8-bqkIw9Uc9/view?usp=drive_link
Biscuits,Milk Bikis,81.91,154,"Fortified with milk and essential nutrients, Milk Bikis is a nutritious biscuit option for growing kids. With a crunchy texture and mild sweetness, it goes perfectly with milk and makes for a wholesome snack anytime of the day.",https://drive.google.com/file/d/1PifQfhcsiOtCvKykNrhU6r8n0T1Rmhny/view?usp=drive_link
Biscuits,50-50 Maska Chaska,82.53,180,"Britannia 50-50 Maska Chaska offers a buttery, herby flavor with a perfect balance of sweet and salty. Ideal for light snacking, it delivers a savory burst of taste in every crunchy bite. A favorite among those who love bold yet smooth flavors.",https://drive.google.com/file/d/1pdpaa2ruxbcLnMehVcW2L3qHzJ3N_oNx/view?usp=drive_link
Biscuits,Jim Jam,78.79,225,"Britannia Jim Jam brings you cream-filled sandwich biscuits topped with a center of jam and sugar sprinkles. A delightful mix of vanilla, jammy fruitiness, and crunch—perfect for kids and those with a sweet tooth.",https://drive.google.com/file/d/1BeedI-FLh9TltmpC-jnRGOGzG6wnxY67/view?usp=drive_link
Coffee,Nescafe Classic Instant,76.7,550,"A timeless instant coffee made from pure Robusta beans, Nescafé Classic delivers a bold, full?flavored cup in seconds. Perfect for busy mornings or quick office breaks, it boasts a rich aroma and smooth finish, enriched with essential vitamins to give you an energizing start to your day.",https://drive.google.com/file/d/1oXxUmOema2MNmL1zQ9UPupjexORnIQSd/view?usp=drive_link
Coffee,Starbucks Pike Place Roast,64.6,849,"Starbucks’ iconic medium?roast blend features balanced notes of cocoa and toasted nuts for a smooth, approachable cup. Pike Place Roast is slow?roasted to bring out its nuanced flavor and is perfect for drip, pour?over, or French press brewing—ideal for everyday coffee moments.",https://drive.google.com/file/d/1ug7H9wFw20ErL-qpwvVjqczQefxVIUY1/view?usp=drive_link
Coffee,Bru Filter Coffee (Tata),67.9,220,"BRU Instant Coffee offers the authentic taste of South Indian coffee plantations in a convenient granule form. With a lively aroma and robust flavor, it dissolves instantly in hot water or milk. An energizing choice for those who love a quick, strong cup without compromising on quality.",https://drive.google.com/file/d/1T1VzVGcRFeHI7lEOPfXRqSNosZlx-Y__/view?usp=drive_link
Coffee,Blue Tokai Medium Roast – 100?g,75.9,216,"Specialty?grade Arabica beans, freshly roasted in India, give Blue Tokai Medium Roast a balanced profile of nuts and mild fruitiness. Its medium body and smooth finish suit drip, pour?over, or French press methods. Enjoy the freshness and nuanced flavors that make every sip exceptional.",https://drive.google.com/file/d/1ec5K3o26p67w9H1Dq141reehL4MX03Zv/view?usp=drive_link
Coffee,Lavazza Qualità Rossa,76.7,340,"An authentic Italian espresso blend of Arabica and Robusta beans, Qualità Rossa offers a full?bodied cup with chocolatey undertones and a warm, lingering finish. Perfect for moka pots or espresso machines, its rich crema and aroma transport you straight to your favorite café.",https://drive.google.com/file/d/1GOOVJqFoIr1BpPiBT696E0rjR8TAoUwY/view?usp=drive_link
Coffee,Death Wish Coffee,87,110,"Billed as the world’s strongest coffee, Death Wish’s dark roast combines high?caffeine Robusta beans with premium Arabica for an intense kick and bold flavor. Its rich, smoky profile and smooth finish make it a cult favorite for those seeking an extra?powerful brew.",https://drive.google.com/file/d/1-JMlWU-mzIrGOmQ23CLEDIo6yx8-MhRo/view?usp=drive_link
Coffee,Tim Hortons Original,79,633,"This classic Canadian medium?roast delivers a smooth, mellow cup with gentle sweetness and a clean finish. Tim Hortons Original is crafted for drip brewing, offering a comforting everyday coffee that’s both approachable and reliable—perfect for starting your morning off right.",https://drive.google.com/file/d/1hAmP8txkohBpPLzYxdbC5bcoUgClF70A/view?usp=drive_link
Coffee,Illy Classico Medium Roast,86.2,672,"Illy’s signature Classico roast uses 100?% Arabica beans to achieve a harmonious balance of floral notes, caramel, and toasted bread. This medium?roast espresso grind produces a velvety crema and elegant aroma, ideal for moka pots and home espresso machines.",https://drive.google.com/file/d/17dShPJt17fUaOkPMTdIipQ2BRGzTRsBc/view?usp=drive_link
Coffee,Café Du Monde Coffee & Chicory,77.1,270,"A New Orleans tradition since 1862, this dark?roasted coffee is blended with chicory for a smooth, slightly woody flavor. Perfect for café au lait, its unique, comforting richness and the subtle earthiness of chicory make it an iconic, heartwarming brew.",https://drive.google.com/file/d/1_toINaT9XoOOgq8NSrmE6ismxfd7vk9I/view?usp=drive_link
Coffee,Green Mountain Breakfast Blend,65.7,507,"A bright, light?roast blend with balanced sweetness and a clean finish, this Breakfast Blend is specially portioned for Keurig® machines. Each pod brews a crisp, nutty cup—perfect for a morning pick?me?up with consistent quality and ease.",https://drive.google.com/file/d/1bzTu59IPCpIsy1ptp8M88I9oA9hFWjPl/view?usp=drive_link
Detergent Ingredient,Surf Excel Matic Front Load (Powder),47.9,197,"Surf Excel Matic Front Load (Powder) offers unparalleled detergent ingredient performance, making it a top choice for consumers.",https://drive.google.com/file/d/1ntkxXrhvUB5M2CfEt2b4d1V-4rWMcraa/view?usp=sharing
Detergent Ingredient,Surf Excel Easy Wash (Powder),48.8,113,"With its unique formula, Surf Excel Easy Wash (Powder) redefines quality in the detergent ingredient market.",https://drive.google.com/file/d/1A5LM4djcgSZrlL_Nei_qFQSWOG3eqHuO/view?usp=drive_link
Detergent Ingredient,Rin Advanced (Powder),50.4,162,"Designed for excellence, Rin Advanced (Powder) excels as a premium detergent ingredient product.",https://drive.google.com/file/d/1QWdtV98avROQDXFWdrltmXT1YHVOxwtB/view?usp=drive_link
Detergent Ingredient,Ghadi (Powder),62.7,120,Ghadi (Powder) combines innovation and reliability to deliver superior detergent ingredient results.,https://drive.google.com/file/d/1GqtmYB5sUDkxsW3xEnYB5Eyb_zjBF_dF/view?usp=sharing
Detergent Ingredient,Henko (Powder),52,118,"Engineered for efficiency, Henko (Powder) stands out among detergent ingredient offerings.",https://drive.google.com/file/d/1_El9EcDI45ymFXpF3vzG0b5UZwNDi-zP/view?usp=sharing
Detergent Ingredient,Ariel Matic Front Load (Powder),49.7,195,"Designed for excellence, Ariel Matic Front Load (Powder) excels as a premium detergent ingredient product.",https://drive.google.com/file/d/1aFJEBI8nr9S4JCcuUKlGdTt0sdvmX47m/view?usp=sharing
Detergent Ingredient,OMO Global (Powder),45.8,127,OMO Global (Powder) combines innovation and reliability to deliver superior detergent ingredient results.,https://drive.google.com/file/d/1v8d9TGpsbk3SnrygPk_eqrwZkmNCtye0/view?usp=sharing
Detergent Ingredient,Arm & Hammer (Powder),62.1,156,"Arm & Hammer (Powder) offers unparalleled detergent ingredient performance, making it a top choice for consumers.",https://drive.google.com/file/d/14Pv5EZiQqIDubjzJ_0zBZTS9rFFVoyQc/view?usp=sharing
Detergent Ingredient,Surf Excel Matic Top Load (Liquid),63.8,194,"With its unique formula, Surf Excel Matic Top Load (Liquid) redefines quality in the detergent ingredient market.",https://drive.google.com/file/d/1bBsABe4c_JCf18Ri-5zJ9r8BovDP2Mmh/view?usp=sharing
Detergent Ingredient,Ecover Zero Non-Bio (Liquid),89.7,144,"Ecover Zero Non-Bio (Liquid) offers unparalleled detergent ingredient performance, making it a top choice for consumers.",https://drive.google.com/file/d/1uBpTKSNs05SSaD7yHaKpciq9sII1H_Ig/view?usp=sharing
Dishwashing Liquids,Dawn Platinum Original,88.5,59,"With its unique formula, Dawn Platinum Original redefines quality in the dishwashing liquids market.",https://drive.google.com/file/d/1ZP7Y9NGQikBhGmvaYALhNAV7PDMzW-M4/view?usp=sharing
Dishwashing Liquids,Palmolive Ultra+ Lemon,77.6,59,"Discover the difference with Palmolive Ultra+ Lemon, a trusted name in dishwashing liquids products.",https://drive.google.com/file/d/1yx2RiumqvX7OqyVzW4vEo4WbOix7bkC7/view?usp=sharing
Dishwashing Liquids,Ecover Lemongrass,82.2,80,"Engineered for efficiency, Ecover Lemongrass stands out among dishwashing liquids offerings.",https://drive.google.com/file/d/1-4sG9WKs3fsu0dvr7Aga4WdLids20UHT/view?usp=sharing
Dishwashing Liquids,Frosch Aloe Vera,96.1,46,"Frosch Aloe Vera offers unparalleled dishwashing liquids performance, making it a top choice for consumers.",https://drive.google.com/file/d/1mRbyfYt6ys7qC6zN97UPgvYkubfhWFtU/view?usp=sharing
Dishwashing Liquids,Seventh Generation Free & Clear,89.1,68,"With its unique formula, Seventh Generation Free & Clear redefines quality in the dishwashing liquids market.",https://drive.google.com/file/d/1vaUOZbocqMMOAmW3Yk9nlESNEtBz-0Cs/view?usp=sharing
Dishwashing Liquids,Method Pink Grapefruit,89.5,69,Method Pink Grapefruit combines innovation and reliability to deliver superior dishwashing liquids results.,https://drive.google.com/file/d/1I1Do0E3rM03MAxCg1cAngFKZaXjjTyHV/view?usp=sharing
Dishwashing Liquids,Vim Lemon Fresh,80,40,"With its unique formula, Vim Lemon Fresh redefines quality in the dishwashing liquids market.",https://drive.google.com/file/d/1ynMHmQk58Iq-iCuVGy4KIw72TxyKgk5Z/view?usp=sharing
Dishwashing Liquids,Patanjali Neem & Mint,80.7,69,"Engineered for efficiency, Patanjali Neem & Mint stands out among dishwashing liquids offerings.",https://drive.google.com/file/d/1Sb3qoldpggcBn0HibD1JwYmcdR4Wf6t9/view?usp=sharing
Dishwashing Liquids,Attitude English Pear,96.1,46,"Attitude English Pear offers unparalleled dishwashing liquids performance, making it a top choice for consumers.",https://drive.google.com/file/d/1FEvkqBrJ6wT4EAfBfqF33MdWKcK-Flpe/view?usp=sharing
Dishwashing Liquids,The Honest Company Lemongrass,82.1,89,"With its unique formula, The Honest Company Lemongrass redefines quality in the dishwashing liquids market.",https://drive.google.com/file/d/1zuUZpPY2MI4uLAAe7lMOW7j6iF2JIYaW/view?usp=sharing
Facewash,Hyphen Rice Water Brightening Cleanser,85,157,"Engineered for efficiency, Hyphen Rice Water Brightening Cleanser stands out among facewash offerings.",https://drive.google.com/file/d/1_745qazecaWg9FChcOG7W5HDtKk0-STi/view?usp=sharing
Facewash,Lotus Botanicals Skin Brightening Face Wash,82,194,Lotus Botanicals Skin Brightening Face Wash combines innovation and reliability to deliver superior facewash results.,https://drive.google.com/file/d/1egxI3SUyjG5xuCnr8idEAQQQRQOMR_VG/view?usp=sharing
Facewas,CeraVe Hydrating Facial Cleanser,83,107,"Engineered for efficiency, CeraVe Hydrating Facial Cleanser stands out among facewash offerings.",https://drive.google.com/file/d/1bVP_JQXn2WcBiNqRt82oKBbQ0APPqUPv/view?usp=sharing
Facewash,Dot & Key 2% Niacinamide Face Wash with Rice Water,76,190,"Discover the difference with Dot & Key 2% Niacinamide Face Wash with Rice Water, a trusted name in facewash products.",https://drive.google.com/file/d/1Vdt7_rXt9XwSdHrbKIgWiyP6N1hzYFH6/view?usp=sharing
Facewash,Mamaearth Aqua Glow Face Wash,85,184,Mamaearth Aqua Glow Face Wash combines innovation and reliability to deliver superior facewash results.,https://drive.google.com/file/d/1q9LYelYmCZqAo2cek-QMmZqUq8Pjje-J/view?usp=sharing
Facewash,Pond's Pure White Face Wash,66,164,"With its unique formula, Pond's Pure White Face Wash redefines quality in the facewash market.",https://drive.google.com/file/d/1AwDZiOeBi-o8HrkHZstnHyeIFrstaP_t/view?usp=sharing
Facewash,VLCC Mandarin & Tomato Fairness Face Wash,71,168,"Discover the difference with VLCC Mandarin & Tomato Fairness Face Wash, a trusted name in facewash products.",https://drive.google.com/file/d/1YVSuzGnS_QAaq9rwc_2hPL5ZsL9Ev6cc/view?usp=sharing
Facewash,Clean & Clear Fairness Face Wash,65,176,"Engineered for efficiency, Clean & Clear Fairness Face Wash stands out among facewash offerings.",https://drive.google.com/file/d/1sR_-ny_a7rI6jutSSwq1s0BtbBIBvUtD/view?usp=sharing
Facewash,Garnier Oil Clear Sparkling Lemon Face Wash,63,193,"Designed for excellence, Garnier Oil Clear Sparkling Lemon Face Wash excels as a premium facewash product.",https://drive.google.com/file/d/1c53ezcIz0sFEckuUkCNHS6QOthovpSnn/view?usp=sharing
Facewash,L'Oreal Paris Hydra Fresh Citrus Face Wash,61,100,"Discover the difference with L'Oreal Paris Hydra Fresh Citrus Face Wash, a trusted name in facewash products.",https://drive.google.com/file/d/1SpTM8rcioLepegw9zr-gABEGXgI-DU93/view?usp=sharing
Face Serum,Ole Henriksen Truth Serum Vitamin C Serum,68,565,"Discover the difference with Ole Henriksen Truth Serum Vitamin C Serum, a trusted name in face serum products.",https://drive.google.com/file/d/1Ik4j31nBgcwyaK5VU7E97XmJzFlZ0EOv/view?usp=sharing
Face Serum,The Ordinary Lactic Acid 10% + Hyaluronic Acid,70,905,"The Ordinary Lactic Acid 10% + Hyaluronic Acid offers unparalleled face serum performance, making it a top choice for consumers.",https://drive.google.com/file/d/19j6F5-UOSVkpo7tzUYl1MiWOHWaPWv0V/view?usp=sharing
