category,name,ecoScore,price,description,imageUrl
Face Serum,Olay Regenerist Retinol 24 Night Serum,64,624,Olay Regenerist Retinol 24 Night Serum combines innovation and reliability to deliver superior face serum results.,https://drive.google.com/file/d/1xb3CJA-6Ca7bnU21Of7JAaxvSX8ugcRD/view?usp=sharing
Face Serum,CeraVe Vitamin C Serum with Hyaluronic Acid,70,360,"CeraVe Vitamin C Serum with Hyaluronic Acid offers unparalleled face serum performance, making it a top choice for consumers.",https://drive.google.com/file/d/1AAx1RbwnpSfbRZRlNnKcSH1AjtTbzQL0/view?usp=sharing
Face Serum,SkinCeuticals H.A. Intensifier Multi-Glycan Serum,84,569,"With its unique formula, SkinCeuticals H.A. Intensifier Multi-Glycan Serum redefines quality in the face serum market.",https://drive.google.com/file/d/1cOR2AWHWtmzVxkUwsQWWznJFJfxW2hGN/view?usp=sharing
Face Serum,Paula's Choice C15 Super Booster Serum,72,332,"Discover the difference with Paula's Choice C15 Super Booster Serum, a trusted name in face serum products.",https://drive.google.com/file/d/19lKX-3svQVf6v71fCpbzsxflUFGNlcag/view?usp=sharing
Face Serum,Drunk Elephant C-Luma Hydrabright Vitamin C Serum,72,306,Drunk Elephant C-Luma Hydrabright Vitamin C Serum combines innovation and reliability to deliver superior face serum results.,https://drive.google.com/file/d/1TOYdc0SuOxo6oqZwF0UEvWgEhcB3JItU/view?usp=sharing
Face Serum,Sunday Riley Good Genes Lactic Acid Treatment,74,912,"Engineered for efficiency, Sunday Riley Good Genes Lactic Acid Treatment stands out among face serum offerings.",https://drive.google.com/file/d/1EK5uxQ4V1k9AJKmP5UBGAQUF43KqW1G6/view?usp=sharing
Face Serum,Biossance Squalane + Copper Peptide Rapid Plumping Serum,74,790,"Biossance Squalane + Copper Peptide Rapid Plumping Serum offers unparalleled face serum performance, making it a top choice for consumers.",https://drive.google.com/file/d/1lyZcC2tGQISvE3DceiRRLYxSuw96gxS_/view?usp=sharing
Face Serum,Glow Recipe Watermelon Glow Niacinamide Dew Drops,72,730,"With its unique formula, Glow Recipe Watermelon Glow Niacinamide Dew Drops redefines quality in the face serum market.",https://drive.google.com/file/d/1CFOyrnLFRQgDIP3t4xTMf0Atah9bohWp/view?usp=sharing
Milk And Products,Organic Valley Whole Milk,91.4,458,"Organic, fresh whole milk from pasture-raised cows, rich in nutrients and ideal for healthy families and children.",https://drive.google.com/file/d/1BgsZGmNwuubzUFtr3m4se60tuZXNGLoR/view?usp=drive_link
Milk And Products,Horizon Organic 2% Milk,94.4,483,"Creamy 2% milk from organic farms, offering balanced nutrition with less fat and full of natural calcium and protein.",https://drive.google.com/file/d/1B7OxfTWbpLiHrbBg6vhZLoeT-R6nfd_P/view?usp=drive_link
Milk And Products,Fairlife Ultra-Filtered Milk,95.2,416,"Lactose-free, high-protein milk with reduced sugar; ultra-filtered for purity and nutrient retention, great for fitness-focused lifestyles.",https://drive.google.com/file/d/1trHeLFpzjUBfujKlIxAMJ7e2WY7nK-pz/view?usp=drive_link
Milk And Products,Dean's Cottage Cheese Milk,87.2,291,"Versatile milk ideal for making cottage cheese; fresh, light taste with essential vitamins and good protein content.",https://drive.google.com/file/d/1eYLouVlwHBCYbTZ1WsxS9KHjH5r7lDJy/view?usp=drive_link
Milk And Products,Trader Joe's Whole Milk,86.2,334,"Affordable, fresh whole milk with rich flavor, sourced responsibly for everyday consumption with creamy consistency",https://drive.google.com/file/d/12vnzx6n1N4cnYJBNVavKs_C3AEmWamz5/view?usp=drive_link
Milk And Products,Publix Lowfat Milk,81.9,299,Low-fat milk option perfect for calorie-conscious diets while retaining calcium and vitamin D for bone and muscle health.,https://drive.google.com/file/d/1LlNAwx7xp-ecwFoiHeSHG7Rb3j9QEtr5/view?usp=drive_link
Milk And Products,DairyPure Skim Milk,85.2,275,Fat-free milk rich in essential nutrients; ideal for those watching cholesterol without sacrificing calcium or taste.,https://drive.google.com/file/d/1WaAE7due4v7OPlXGIORi7EvM3HPQA0FS/view?usp=drive_link
Milk And Products,Oakland Farms Whole Milk,86.8,282,"Creamy and wholesome, this whole milk is sourced locally and perfect for cooking, baking, or everyday drinking",https://drive.google.com/file/d/1bVN5Xt7Q72N7pwCU2pqFkVjj3h1Ff_hw/view?usp=drive_link
Milk And Products,Silk Almond Milk,84.6,350,"Plant-based, dairy-free almond milk with a nutty flavor, low in calories and great for vegans or lactose intolerant.",https://drive.google.com/file/d/1WrDUMmr9WlYy_1liv86lO8qjGDv8M_Uv/view?usp=drive_link
Milk And Products,Silk Soy Milk,87.6,357,"High-protein, plant-based milk alternative made from whole soybeans; smooth, creamy, and suitable for dairy-free lifestyles.",https://drive.google.com/file/d/1aB3SndwqtWDVRtufo6tAMEne2S2P2NuI/view?usp=drive_link
Moisturizer Body Lotion,Palmers Cocoa Body Lotion,90.1,460,"Deeply moisturizing lotion enriched with cocoa butter; ideal for dry skin, improves elasticity and leaves skin soft.",https://drive.google.com/file/d/15vKBnqZWjQC-h-nGVeGV9KwGQUXYk4tx/view?usp=sharing
Moisturizer Body Lotion,Himalaya Cocoa Butter Body Lotion,90.3,250,"Lightweight lotion with cocoa butter and wheat germ oil for skin nourishment, hydration, and smoothness in all seasons.",https://drive.google.com/file/d/1GYVbcf56DPf4apxBUi-084G1K6zy38DX/view?usp=drive_link
Moisturizer Body Lotion,"MCaffeine Coffee Body Lotion	",74.9,230,"Energizing lotion with pure Arabica coffee; tones, moisturizes, and rejuvenates dull skin with antioxidants and natural hydration.",https://drive.google.com/file/d/19TwCVP2T5_FRTqEFmpRSBuzFvtheDeym/view?usp=drive_link
Moisturizer Body Lotion,Jergens Aloe Vera Body Lotion,72.6,320,Soothing aloe-infused body lotion for refreshing and hydrating skin; great for after sun exposure or dryness relief.,https://drive.google.com/file/d/1r95Yo9TQy3QmJ3bdhClmXGI-AvQhKadR/view?usp=drive_link
Moisturizer Body Lotion,Olay Turmeric Body Lotion,73.4,499,"Enriched with turmeric and Vitamin B3, this lotion brightens and hydrates dull skin with long-lasting moisture.",https://drive.google.com/file/d/1y9PCpOqlA6EfCOpNO5kbaQztMOvRDTXX/view?usp=drive_link
Moisturizer Body Lotion,Nivea Shea Butter Body Lotion,79,350,"Intensely hydrating lotion with shea butter; deeply nourishes dry skin, restoring smoothness and softness throughout the day.",https://drive.google.com/file/d/1Q25TYNXN93n1_Ff0As5a8VUZNFE1k3ay/view?usp=drive_link
Moisturizer Body Lotion,Mamaearth Ubtan Body Lotion,89.7,239,"Ayurvedic blend with turmeric and saffron; lightens and moisturizes skin, suitable for daily use and all skin types.",https://drive.google.com/file/d/1KfKVOMvEV3RsOIW2i5FjIzkSYMhMRdLr/view?usp=drive_link
Moisturizer Body Lotion,The Body Shop Green Tea Body Lotion,66.9,1039,Lightweight lotion with green tea extracts from Japan; provides hydration while calming and detoxifying tired skin.,https://drive.google.com/file/d/1t6sJGBxg1NfkegeGeCsigXNdLf55BfgP/view?usp=drive_link
Moisturizer Body Lotion,Mamaearth Aloe Vera Body Lotion,75.5,413,"Fast-absorbing lotion with aloe and almond oil; soothes, cools, and deeply nourishes irritated or sensitive skin.",https://drive.google.com/file/d/1endghcWzNpIV4Ny8dhAX-pqf3T9-IZEB/view?usp=drive_link
Moisturizer Body Lotion,Nivea Coconut Body Lotion,82.1,300,"Tropical-scented body lotion with coconut and almond oil; leaves skin feeling soft, moisturized, and pleasantly fragranced.",https://drive.google.com/file/d/1Oh1AG90-luCJjYDfFPaeOoS7Ut6uVR3_/view?usp=drive_link
Mouthwash,Listerine Fresh Breath,97.4,180,Powerful antiseptic mouthwash that kills germs and gives long-lasting fresh breath; trusted protection against plaque and gingivitis.,https://drive.google.com/file/d/1RlklvusmUVZkyk7oeAHuJvmTNFXAU7yW/view?usp=drive_link
Mouthwash,Listerine Zero Alcohol,89.6,155,Alcohol-free version with gentle yet effective germ protection; suitable for sensitive mouths without burning sensation.,https://drive.google.com/file/d/1g26lp9zMkp2tXJ-YW6kC6WEA2fQ7S4aF/view?usp=drive_link
Mouthwash,Colgate Cool Mint,87,130,"Refreshing mint-flavored mouthwash that eliminates bacteria, prevents bad breath, and protects against cavities with fluoride.",https://drive.google.com/file/d/1R5I6Lc-1u3ri2A6XsTmguZaHqu7pgwD2/view?usp=drive_link
Mouthwash,Colgate Fresh Breath,93.8,147,"Daily-use mouthwash that targets odor-causing bacteria, offering long-lasting breath freshness and basic oral hygiene support.",https://drive.google.com/file/d/1uq4D-aw1_dRj2ImlFNC7OO7bQ4Zzwa2i/view?usp=drive_link
Mouthwash,TheraBreath Fresh Breath,93,300,Dentist-formulated mouthwash that neutralizes sulfur-producing bacteria; non-alcoholic and safe for dry mouth sufferers.,https://drive.google.com/file/d/1nw698xMuK1TejIuQT2h8-D8U_gOByiA2/view?usp=drive_link
Mouthwash,Himalaya Complete Care,92.9,140,Herbal mouthwash with pomegranate and miswak; strengthens gums and prevents bad breath naturally without alcohol.,https://drive.google.com/file/d/1Da_p_FGTRWe0dW-M5bPCxi1tMhvhu9Y3/view?usp=drive_link
Mouthwash,Himalaya Active Fresh,76.8,140,"Herbal-based mouthwash that gives cooling freshness, helps prevent gum problems, and supports overall oral health.",https://drive.google.com/file/d/1eVObzb4QI8QLWrzww5fonZjnx6M4sqLB/view?usp=drive_link
Mouthwash,CloseUp Cool Mint,80.8,118,Fluoride-enriched mouthwash with an intense cooling effect; helps prevent cavities and keeps breath fresh after meals.,https://drive.google.com/file/d/1YhnB8jlsUPUsdwi9elyHSPuM3EqNQbtn/view?usp=drive_link
Mouthwash,Dabur Herbal,90.1,100,Ayurvedic mouthwash with clove and licorice extracts; tackles bad breath and maintains oral hygiene using traditional Indian herbs.,https://drive.google.com/file/d/1-wRZcEjO2FJWcAJAkwPPUa6J-tLmh9-A/view?usp=drive_link
Mouthwash,Crest Complete Care,93.6,337,"Multi-benefit mouthwash that provides germ protection, fresh breath, and tooth enamel support with a refreshing taste.",https://drive.google.com/file/d/19--ANQZrJtpJ9pS_L9TDINeksyruElTe/view?usp=drive_link
Real Chocolate,Cadbury Dairy Milk,100,50,"Classic, creamy milk chocolate beloved for its smooth texture and sweet taste; perfect for snacking and sharing.",https://drive.google.com/file/d/1g5bQd8AFj7mFd9VKVheoEi7JHA-ZetC2/view?usp=drive_link
Real Chocolate,NestlÃ© KitKat,98.2,50,"Iconic wafer chocolate with crispy layers; great for breaks, comes in multiple flavors, loved worldwide.",https://drive.google.com/file/d/1vHtv_G8DsIv9uKorhTFSth4J_KjCVoSD/view?usp=drive_link
Real Chocolate,Ferrero Rocher,95.2,185,"Premium chocolate with a hazelnut center, crispy shell, and gold wrapping; luxurious treat for gifting or self-indulgence.",https://drive.google.com/file/d/1SZ80iTlKlCwQPlepHWR3hwmclHSu-dma/view?usp=drive_link
Real Chocolate,Hershey's Milk Chocolate,93.9,120,"American favorite made with real milk; smooth, sweet, and great for baking, s’mores, or standalone munching.",https://drive.google.com/file/d/1JKN4s-R7g1Q1T7Q4GnAi1327SZ8werMv/view?usp=drive_link
Real Chocolate,Lindt Excellence 70%,88.3,250,"Rich dark chocolate bar with 70% cocoa; slightly bitter, intense flavor for true chocolate connoisseurs.",https://drive.google.com/file/d/1XEG7ThbDKngL9TOng2AcjpFZ7DkLubBh/view?usp=drive_link
Real Chocolate,Snickers,73.4,50,"Packed chocolate bar with nougat, peanuts, and caramel; energy-boosting snack that satisfies hunger and sweet cravings.",https://drive.google.com/file/d/1gQ8010n8mwLgul1usf6UVk74MnpcpGxC/view?usp=drive_link
Real Chocolate,Toblerone,77,225,"Distinctive triangular Swiss chocolate with honey and almond nougat; crunchy and smooth, ideal for gifting or festive occasions.",https://drive.google.com/file/d/1LxGTgILcH0DCwFN6vpnBKuIAW66VTqfy/view?usp=drive_link
Real Chocolate,Galaxy Smooth Milk,76.9,120,"Creamy and velvety milk chocolate bar; melts in the mouth and delivers rich, indulgent sweetness.",https://drive.google.com/file/d/1ZazHWHsvJiozpSehfFlAv3F7rJyCWekB/view?usp=drive_link
Real Chocolate,Mars Bar,69,60,"Chocolate bar filled with nougat and caramel; chewy, sweet, and satisfying for quick energy or dessert.",https://drive.google.com/file/d/1epPwi61QonUcR9p6U4lnIWjWR5qrgDac/view?usp=drive_link
Real Chocolate,Milky Way,62.1,65,"Soft, creamy nougat wrapped in milk chocolate; light, fluffy texture perfect for dessert lovers.",https://drive.google.com/file/d/1vcroykIleFmJv1x_daz6qRpab64Ra3ig/view?usp=drive_link
Shaving Cream,Gillette,73.4,67,"Budget-friendly shaving foam that offers a smooth glide and classic scent, ideal for daily shaves with minimal irritation.",https://drive.google.com/file/d/1cat_6Vhit78H4V8mkwgb5h4HbAoTcYsD/view?usp=drive_link
Shaving Cream,Nivea Men,86.1,2329,"Premium shaving cream with skin-guard technology; provides moisturization, smooth shave, and prevents post-shave irritation and tightness.",https://drive.google.com/file/d/1YddhemrzkWSkodeH1_4rYBzKtxZYF4J8/view?usp=drive_link
Shaving Cream,Barbasol,86.3,399,"Iconic American foam with rich lather; offers a close, comfortable shave and protects skin against nicks and cuts.",https://drive.google.com/file/d/13jLM4I0NB4Y0A8E129fgPkGyvht6tpoJ/view?usp=drive_link
Shaving Cream,Old Spice,63.3,45,"Classic scent and bold lather; delivers a refreshing, masculine shaving experience that energizes the skin while softening whiskers.",https://drive.google.com/file/d/169n6DjhsA-F_MtOCcoA6QwppCBBbAqU6/view?usp=drive_link
Shaving Cream,Dove Men+Care,50.3,595,Dermatologist-tested cream with hydrating technology; prevents dryness and soothes skin during and after shaving.,https://drive.google.com/file/d/1hhkfH2yKp2HmR5UQuxM1aMU5t8Ddr8Ne/view?usp=drive_link
Shaving Cream,Harry's,60,3990,"Premium, cruelty-free cream with natural ingredients; rich lather and calming extracts deliver a luxury shave with superior skin protection.",https://drive.google.com/file/d/1347TqKDVBz-xWnzpwa07U25tIBdjTXG4/view?usp=drive_link
Shaving Cream,Palmolive,76.5,832,Reliable and economical option with creamy lather; enriched with soothing agents for a gentle and clean shave.,https://drive.google.com/file/d/1TB2aF_tScL3OfnxXFwbIHGGbY1iMlmmY/view?usp=drive_link
Shaving Cream,EOS (Men),40,811,Hypoallergenic shaving cream with shea butter and aloe; provides a smooth shave and post-shave hydration with minimal irritation.,https://drive.google.com/file/d/1fvylzppIL3EvCAATGrL-fgs2i_WQYn8J/view?usp=drive_link
Shaving Cream,EOS (Women),49.1,900,"Designed for sensitive skin; deeply moisturizing formula ensures close shaves while leaving skin soft, smooth, and silky.",https://drive.google.com/file/d/1MtrZASJhF9_qc1rFCmrgDCJnbyFhaKBD/view?usp=drive_link
Shaving Cream,Weleda,82.8,984,Natural and organic shaving cream with beeswax and goat’s milk; nourishes while providing excellent razor glide and comfort.,https://drive.google.com/file/d/1ouJHSi1H9AeTZt41eqcwpuomrpb9Xx8h/view?usp=drive_link
Shaving Cream,King of Shaves,65.3,833,"Low-foam, gel-based shave formula that enhances razor control; enriched with aloe and tea tree oil for soothing action.",https://drive.google.com/file/d/1EN8Ti3Jwvz8ODFPSoDmkffYPxDFslVRI/view?usp=drive_link
Shaving Cream,Cremo,85,1778,Ultra-slick cream that dramatically reduces nicks and irritation; known for its concentrated formula and luxury fragrance profiles.,https://drive.google.com/file/d/1m4BkOME2-WeMGlLbu5_zGPtlkePBuYCt/view?usp=drive_link
Shaving Cream,Jack Black,76.7,4800,High-end triple cushion shave cream with macadamia and jojoba oils; ideal for thick beards and sensitive skin.,https://drive.google.com/file/d/1E0MWUrwvZHe053jbjaIuW_bXm8PTDkYq/view?usp=drive_link
Shaving Cream,The Art of Shaving,51.8,2990,"Premium glycerin-based shaving cream with essential oils; produces a rich lather for a luxurious, barbershop-quality experience.",https://drive.google.com/file/d/1D86zLSpj8Wa1PCmCE3LoqY1hQm2JXczY/view?usp=drive_link
Shaving Cream,Taylor of Old Bond Street,48.8,2250,"Traditional British cream with classic scents; creates a dense lather for elegant, close shaves and heritage feel.",https://drive.google.com/file/d/1qdbvhi6f1aI7lrza0wt-_0OI1QdY4I8Y/view?usp=drive_link
Shaving Cream,Proraso,65.2,499,Italian favorite with eucalyptus and menthol; refreshes skin and provides a barbershop-grade shave at an affordable price.,https://drive.google.com/file/d/17a5cLRGCWkDPKGHA7xaV2h45moECByiC/view?usp=drive_link
Shaving Cream,Clubman Pinaud,50,770,Classic barbershop brand with rich texture and skin-conditioning agents; leaves skin smooth and cool after every shave.,https://drive.google.com/file/d/1Gk6EckkcE9AkA6EKgWn8GuUPjO2o1dzF/view?usp=drive_link
Shaving Cream,Bevel,51.2,2071,Specifically designed for coarse or curly hair; prevents ingrown hairs and razor bumps while nourishing melanin-rich skin.,https://drive.google.com/file/d/1VMxKnAbZM96tuVSzk-WVnQ81XA47KPK-/view?usp=drive_link
Shaving Cream,Burt's Bees (Men),83.2,2240,"Natural shaving cream with chamomile and calendula; calms skin, minimizes irritation, and smells earthy and refreshing.",https://drive.google.com/file/d/1L5kbC3oZe8oqamyMwzDebMvP9hZt9C6N/view?usp=drive_link
Shaving Cream,Bulldog (Men),74,500,"Vegan and cruelty-free cream with aloe vera, camelina oil, and green tea for a skin-friendly, effective shaving experience.",https://drive.google.com/file/d/1FX2V-3pDhpXjGRTLvANK3b3u_cEQoEHB/view?usp=drive_link
Shaving Cream,Clinique for Men,82.9,2338,"Dermatologist-developed cream that cushions skin for a sleek, irritation-free shave; suitable for sensitive or acne-prone skin types.",https://drive.google.com/file/d/1QdEDd3QZcdO83n1Snez0Zf49RKEOzO7i/view?usp=drive_link
Shaving Cream,Mennen,75.5,700,"Affordable and widely used for smooth shaves; offers decent foam, classic scent, and works well with all razors.",https://drive.google.com/file/d/1H6NAcuud4YsLKCQnd4BA8mwr3S5xxpcf/view?usp=drive_link
Shaving Cream,Palmolive Men,47.2,932,"Specifically formulated for men’s grooming; smooth texture with skin-calming ingredients ensures a classic, no-frills shave.",https://drive.google.com/file/d/1Jpy13mEP8YQSpubPNafdydWHfu-BL200/view?usp=drive_link
Shaving Cream,Nivea for Men,60.4,479,Hydrating formula enriched with vitamins and chamomile; protects skin from shaving damage and delivers a smooth finish.,https://drive.google.com/file/d/1KBwAZfkWKj9dkrNaVEGqFs_6mTcC5aeE/view?usp=drive_link
Shaving Cream,L'OrÃ©al Men Expert,65.9,5051,"High-end shaving cream with advanced skin protection, anti-irritation shield, and hydrating ingredients for a luxury grooming routine.",https://drive.google.com/file/d/1ZYSexPPy4E5XkuFkAgZKSkon4h7U8m4i/view?usp=drive_link
Shaving Cream,SKINTIMATE,75.4,1268,"Creamy and rich, this brand focuses on nourishing skin, especially for women; known for sensitive skin-friendly shaving.",https://drive.google.com/file/d/1-FW9OovPvaAKql3FllqnzhOGJqSDmjGc/view?usp=drive_link
Shaving Cream,Imperial Leather,50.3,1486,British heritage brand offering rich lather and long-lasting scent; provides a smooth glide and skin-softening benefits.,https://drive.google.com/file/d/149uS8fUJghagHJtfGJlAz-QzZTSXR3HD/view?usp=drive_link
Shaving Cream,Pacific Shaving Co,82.3,1862,"Natural, eco-conscious brand; small-batch crafted creams with essential oils for a sustainable, effective, and moisturizing shave.",https://drive.google.com/file/d/1403_sR1wmmHWzvoZMQAdrz9doQIjn-yc/view?usp=drive_link
Shaving Cream,Manscaped,83.3,1742,"Below-the-belt focused shaving cream with anti-chafing properties; gentle formula for intimate grooming, smooth and non-irritating.",https://drive.google.com/file/d/1s9jZwRHR_isj2I_qwiFM-TGVSre6nPR6/view?usp=drive_link
Shaving Cream,Dollar Shave Club,73.1,1621,"Affordable, quality-focused shaving cream with skin-soothing agents; part of a convenient grooming subscription service.",https://drive.google.com/file/d/1HZgiMojIN4fQDV3g92pKpdkix-hvLQVv/view?usp=drive_link
